time,open,high,low,close,volume,amount1,amount2,flag,timer
2023-10-20 22:00:00,1607.21,1610.85,1598.53,1605.33,1238784,123878.4,198941829.631,1,1697810400000
2023-10-20 21:00:00,1607.01,1609.36,1596.93,1607.22,1089513,108951.3,174782962.067,1,1697806800000
2023-10-20 20:00:00,1613.64,1616.88,1602.16,1607.01,1480584,148058.4,238144644.797,1,1697803200000
2023-10-20 19:00:00,1615.55,1620.14,1612.16,1613.63,845283,84528.3,136643511.744,1,1697799600000
2023-10-20 18:00:00,1618.55,1631.05,1615.02,1615.55,2549744,254974.4,413704212.833,1,1697796000000
2023-10-20 17:00:00,1611.47,1618.63,1606.84,1618.54,1261635,126163.5,203303270.978,1,1697792400000
2023-10-20 16:00:00,1583.62,1622,1583.3,1611.46,3467114,346711.4,556294500.191,1,1697788800000
2023-10-20 15:00:00,1583.68,1589.96,1582.16,1583.61,687078,68707.8,108938716.395,1,1697785200000
2023-10-20 14:00:00,1583.43,1584.74,1579.61,1583.68,326162,32616.2,51614732.402,1,1697781600000
2023-10-20 13:00:00,1582.91,1584.73,1578.58,1583.43,449198,44919.8,71045700.913,1,1697778000000
2023-10-20 12:00:00,1586.69,1588,1581.27,1582.91,694657,69465.7,110028776.657,1,1697774400000
2023-10-20 11:00:00,1585.49,1595.77,1581.05,1586.7,1834963,183496.3,291647058.322,1,1697770800000
2023-10-20 10:00:00,1565.07,1589.27,1564.46,1585.48,2146614,214661.4,339055565.087,1,1697767200000
2023-10-20 09:00:00,1563.5,1565.08,1560.71,1565.08,219388,21938.8,34287587.248,1,1697763600000
2023-10-20 08:00:00,1566.98,1568.55,1562.36,1563.5,319600,31960,50013187.485,1,1697760000000
2023-10-20 07:00:00,1564.32,1567.78,1563.79,1566.97,158590,15859,24830072.862,1,1697756400000
2023-10-20 06:00:00,1563.58,1568.44,1563.5,1564.32,218825,21882.5,34259760.806,1,1697752800000
2023-10-20 05:00:00,1566.51,1567.76,1563.36,1563.59,199948,19994.8,31295088.986,1,1697749200000
2023-10-20 04:00:00,1567.98,1573.25,1563.62,1566.66,594318,59431.8,93252494.759,1,1697745600000
2023-10-20 03:00:00,1561.61,1570,1561.08,1568.01,574920,57492,89951240.738,1,1697742000000
2023-10-20 02:00:00,1562.07,1566,1561.25,1561.6,738853,73885.3,115513569.636,1,1697738400000
2023-10-20 01:00:00,1564.37,1567.81,1559.51,1562.06,701577,70157.7,109702065.52,1,1697734800000
2023-10-20 00:00:00,1560.99,1574.99,1560,1564.36,2006958,200695.8,314530394.131,1,1697731200000
2023-10-19 23:00:00,1561.08,1565.89,1556.4,1560.98,1198503,119850.3,187113421.615,1,1697727600000
2023-10-19 22:00:00,1554.3,1563,1552.82,1561.07,909541,90954.1,141662153.608,1,1697724000000
2023-10-19 21:00:00,1553.16,1560.57,1552.11,1554.29,658002,65800.2,102438011.668,1,1697720400000
2023-10-19 20:00:00,1553.87,1556.92,1550.38,1553.16,692279,69227.9,107569609.066,1,1697716800000
2023-10-19 19:00:00,1552.67,1555.41,1551.36,1553.87,339705,33970.5,52768530.811,1,1697713200000
2023-10-19 18:00:00,1547.74,1554.47,1546.34,1552.64,736881,73688.1,114266262.327,1,1697709600000
2023-10-19 17:00:00,1547.91,1550.92,1540.69,1547.75,954485,95448.5,147610402.454,1,1697706000000
2023-10-19 16:00:00,1551.65,1553.33,1546.33,1547.89,318441,31844.1,49357160.815,1,1697702400000
2023-10-19 15:00:00,1551.27,1552.57,1547.29,1551.66,317599,31759.9,49240916.159,1,1697698800000
2023-10-19 14:00:00,1552.28,1553,1550.21,1551.27,166895,16689.5,25897746.728,1,1697695200000
2023-10-19 13:00:00,1550.3,1553.49,1549.5,1552.29,349707,34970.7,54263691.187,1,1697691600000
2023-10-19 12:00:00,1549.26,1550.44,1545.47,1550.29,283094,28309.4,43828422.67,1,1697688000000
2023-10-19 11:00:00,1547.72,1551.5,1546.91,1549.26,503006,50300.6,77941888.081,1,1697684400000
2023-10-19 10:00:00,1549.49,1551.46,1544.28,1547.72,748154,74815.4,115821436.628,1,1697680800000
2023-10-19 09:00:00,1566.52,1566.99,1540.8,1549.49,1976659,197665.9,306404937.689,1,1697677200000
2023-10-19 08:00:00,1563.71,1567.59,1560.99,1566.52,376531,37653.1,58906120.136,1,1697673600000
2023-10-19 07:00:00,1564.87,1565.27,1559.61,1563.71,255330,25533,39905657.402,1,1697670000000
2023-10-19 06:00:00,1558.92,1566.32,1557.31,1564.88,320555,32055.5,50110308.501,1,1697666400000
2023-10-19 05:00:00,1562.44,1562.45,1555.55,1558.92,377176,37717.6,58791021.836,1,1697662800000
2023-10-19 04:00:00,1563.01,1565.99,1558.16,1562.44,377396,37739.6,58952357.276,1,1697659200000
2023-10-19 03:00:00,1569.21,1569.21,1562.3,1563.02,480219,48021.9,75159538.577,1,1697655600000
2023-10-19 02:00:00,1569.32,1572.87,1568.15,1569.21,222059,22205.9,34880394.619,1,1697652000000
2023-10-19 01:00:00,1570.86,1573.76,1566.67,1569.32,302662,30266.2,47533628.335,1,1697648400000
2023-10-19 00:00:00,1570.02,1575.01,1565.41,1570.86,724655,72465.5,113818629.525,1,1697644800000
2023-10-18 23:00:00,1570.76,1573.46,1568.61,1570.02,361347,36134.7,56771800.438,1,1697641200000
2023-10-18 22:00:00,1573.31,1577.99,1568.35,1570.76,836258,83625.8,131490252.2,1,1697637600000
2023-10-18 21:00:00,1579.09,1580,1571.13,1573.31,657599,65759.9,103592424.546,1,1697634000000
2023-10-18 20:00:00,1578.82,1582,1575.74,1579.08,485846,48584.6,76695449.566,1,1697630400000
2023-10-18 19:00:00,1580.47,1586,1578.37,1578.82,627038,62703.8,99175375.951,1,1697626800000
2023-10-18 18:00:00,1569.29,1582.7,1569,1580.46,897357,89735.7,141537646.051,1,1697623200000
2023-10-18 17:00:00,1577.8,1583.99,1568.34,1569.3,1088200,108820,171779890.754,1,1697619600000
2023-10-18 16:00:00,1572.18,1577.98,1571.21,1577.8,442481,44248.1,69675381.434,1,1697616000000
2023-10-18 15:00:00,1572.21,1576.44,1566.1,1572.17,751571,75157.1,118081621.782,1,1697612400000
2023-10-18 14:00:00,1572.82,1574.89,1570,1572.22,319042,31904.2,50165877.613,1,1697608800000
2023-10-18 13:00:00,1572.96,1576.58,1569.58,1572.82,958123,95812.3,150715310.502,1,1697605200000
2023-10-18 12:00:00,1568.18,1582.7,1566.65,1572.95,1273929,127392.9,200774047.234,1,1697601600000
2023-10-18 11:00:00,1567.6,1568.6,1563.37,1568.19,315007,31500.7,49319687.326,1,1697598000000
2023-10-18 10:00:00,1567.87,1572.28,1565.5,1567.61,435523,43552.3,68329775.174,1,1697594400000
2023-10-18 09:00:00,1564.5,1569.4,1563.77,1567.83,330348,33034.8,51771103.754,1,1697590800000
2023-10-18 08:00:00,1564.69,1567.5,1562.03,1564.5,345922,34592.2,54133103.308,1,1697587200000
2023-10-18 07:00:00,1562.5,1566.21,1561.5,1564.7,188763,18876.3,29532022.54,1,1697583600000
2023-10-18 06:00:00,1562.12,1564.29,1559.07,1562.5,212366,21236.6,33163646.867,1,1697580000000
2023-10-18 05:00:00,1560.1,1565.7,1557.02,1562.13,227927,22792.7,35605523.655,1,1697576400000
2023-10-18 04:00:00,1564.23,1565.7,1559.55,1560.09,273539,27353.9,42757916.994,1,1697572800000
2023-10-18 03:00:00,1553.36,1564.48,1552.68,1564.24,535646,53564.6,83498152.714,1,1697569200000
2023-10-18 02:00:00,1568.1,1569.9,1550,1553.43,1269628,126962.8,197811931.156,1,1697565600000
2023-10-18 01:00:00,1576.34,1576.56,1563.89,1568.11,882918,88291.8,138561464.203,1,1697562000000
2023-10-18 00:00:00,1575.5,1580.66,1574.55,1576.33,338688,33868.8,53439398.265,1,1697558400000
2023-10-17 23:00:00,1573.17,1578.87,1572.34,1575.51,537036,53703.6,84645677.668,1,1697554800000
2023-10-17 22:00:00,1571.9,1578.48,1570.68,1573.17,889949,88994.9,140105666.612,1,1697551200000
2023-10-17 21:00:00,1574.17,1579.3,1563.78,1571.9,1969947,196994.7,309578949.866,1,1697547600000
2023-10-17 20:00:00,1584.71,1586.33,1573.47,1574.18,1191216,119121.6,188081729.011,1,1697544000000
2023-10-17 19:00:00,1586.5,1586.74,1583.44,1584.71,283021,28302.1,44853701.675,1,1697540400000
2023-10-17 18:00:00,1590.37,1594.21,1582.81,1586.5,654969,65496.9,103998350.306,1,1697536800000
2023-10-17 17:00:00,1588.65,1591.04,1586.54,1590.36,255284,25528.4,40566006.926,1,1697533200000
2023-10-17 16:00:00,1590.65,1593.38,1584.55,1588.66,602128,60212.8,95645380.073,1,1697529600000
2023-10-17 15:00:00,1586.01,1592.65,1582.35,1590.64,603992,60399.2,95917315.503,1,1697526000000
2023-10-17 14:00:00,1587.76,1587.76,1583.27,1586.01,276781,27678.1,43879595.097,1,1697522400000
2023-10-17 13:00:00,1588.83,1590.51,1585.26,1587.76,253340,25334,40217499.496,1,1697518800000
2023-10-17 12:00:00,1589.59,1590.29,1583.1,1588.83,689107,68910.7,109358413.752,1,1697515200000
2023-10-17 11:00:00,1596.06,1596.06,1588.35,1589.58,337685,33768.5,53748561.41,1,1697511600000
2023-10-17 10:00:00,1594.24,1596.2,1589.6,1596.06,335498,33549.8,53451349.063,1,1697508000000
2023-10-17 09:00:00,1592.07,1598.44,1591.52,1594.25,393836,39383.6,62810486.782,1,1697504400000
2023-10-17 08:00:00,1599.29,1600.73,1591.36,1592.06,576799,57679.9,92064145.036,1,1697500800000
2023-10-17 07:00:00,1601.65,1604.76,1598.75,1599.29,443298,44329.8,70976983.093,1,1697497200000
2023-10-17 06:00:00,1589.58,1605.53,1589.57,1601.66,689699,68969.9,110268559.231,1,1697493600000
2023-10-17 05:00:00,1587.24,1591.22,1576.83,1589.58,599374,59937.4,94927657.153,1,1697490000000
2023-10-17 04:00:00,1589.75,1595.05,1584.76,1587.24,590893,59089.3,93975495.89,1,1697486400000
2023-10-17 03:00:00,1589.26,1602.5,1585.88,1589.74,1440491,144049.1,229659214.66,1,1697482800000
2023-10-17 02:00:00,1578.82,1590.1,1578.65,1589.26,781929,78192.9,123850402.641,1,1697479200000
2023-10-17 01:00:00,1578.17,1582.01,1572.76,1578.83,489744,48974.4,77231696.775,1,1697475600000
2023-10-17 00:00:00,1577.9,1580.36,1575,1578.18,467744,46774.4,73789151.77,1,1697472000000
2023-10-16 23:00:00,1586.69,1588.21,1576.05,1577.9,935309,93530.9,147857283.66,1,1697468400000
2023-10-16 22:00:00,1579.62,1589.57,1573.6,1586.67,1832667,183266.7,290020567.067,1,1697464800000
2023-10-16 21:00:00,1587.39,1645,1565,1579.62,12351095,1235109.5,1983179974.891,1,1697461200000
2023-10-16 20:00:00,1582.75,1587.95,1580.86,1587.39,459986,45998.6,72901701.23,1,1697457600000
2023-10-16 19:00:00,1585.4,1585.92,1579.75,1582.74,360765,36076.5,57116393.291,1,1697454000000
2023-10-16 18:00:00,1584.34,1587.5,1581,1585.4,643137,64313.7,101914307.733,1,1697450400000
2023-10-16 17:00:00,1581.12,1584.79,1575,1584.33,893042,89304.2,140992604.016,1,1697446800000
2023-10-16 16:00:00,1579.03,1585.55,1579.03,1581.12,459165,45916.5,72665719.873,1,1697443200000
2023-10-16 15:00:00,1578.35,1581.96,1577.6,1579.02,422488,42248.8,66734894.754,1,1697439600000
2023-10-16 14:00:00,1585.26,1588,1577.28,1578.36,960275,96027.5,151927296.238,1,1697436000000
2023-10-16 13:00:00,1562.39,1589.49,1562.38,1585.27,4312747,431274.7,681342992.998,1,1697432400000
2023-10-16 12:00:00,1562.9,1563.6,1560.59,1562.38,155912,15591.2,24355377.726,1,1697428800000
2023-10-16 11:00:00,1562.11,1563,1560.54,1562.89,159891,15989.1,24974155.567,1,1697425200000
2023-10-16 10:00:00,1563,1567,1561.07,1562.11,444468,44446.8,69512211.826,1,1697421600000
2023-10-16 09:00:00,1556.35,1565.49,1556.35,1562.97,496807,49680.7,77620682.292,1,1697418000000
2023-10-16 08:00:00,1557.85,1559.9,1554.92,1556.36,294202,29420.2,45829348.345,1,1697414400000
2023-10-16 07:00:00,1555.01,1557.85,1553.11,1557.85,288326,28832.6,44836722.561,1,1697410800000
2023-10-16 06:00:00,1560.2,1566.55,1552.03,1555,784894,78489.4,122321358.7,1,1697407200000
2023-10-16 05:00:00,1563.99,1565,1556.71,1560.2,412112,41211.2,64285213.186,1,1697403600000
2023-10-16 04:00:00,1560.49,1567.29,1559,1563.99,479732,47973.2,75023794.509,1,1697400000000
2023-10-16 03:00:00,1564.98,1565.35,1558.34,1560.49,267622,26762.2,41779253.83,1,1697396400000
2023-10-16 02:00:00,1557.71,1565.51,1556.56,1564.98,542386,54238.6,84715308.718,1,1697392800000
2023-10-16 01:00:00,1555.62,1557.83,1554.81,1557.7,216227,21622.7,33654315.008,1,1697389200000
2023-10-16 00:00:00,1553.82,1556.18,1550.07,1555.57,312507,31250.7,48551080.808,1,1697385600000
2023-10-15 23:00:00,1552.85,1555.18,1551.3,1553.81,158313,15831.3,24594581.573,1,1697382000000
2023-10-15 22:00:00,1552.2,1556.76,1551.55,1552.85,212368,21236.8,33004829.014,1,1697378400000
2023-10-15 21:00:00,1553.5,1560.98,1548.5,1552.2,1087587,108758.7,169034098.746,1,1697374800000
2023-10-15 20:00:00,1555.6,1555.75,1552.69,1553.5,232651,23265.1,36163955.26,1,1697371200000
2023-10-15 19:00:00,1557.73,1557.73,1553.6,1555.6,227579,22757.9,35401232.01,1,1697367600000
2023-10-15 18:00:00,1557.49,1559.38,1556.84,1557.72,110806,11080.6,17262042.654,1,1697364000000
2023-10-15 17:00:00,1557.55,1560.44,1556.78,1557.47,256247,25624.7,39934214.012,1,1697360400000
2023-10-15 16:00:00,1555.37,1558.43,1554.65,1557.54,225832,22583.2,35151947.664,1,1697356800000
2023-10-15 15:00:00,1553.98,1555.38,1553.1,1555.38,68565,6856.5,10654927.867,1,1697353200000
2023-10-15 14:00:00,1553.41,1554.18,1552.39,1553.98,75434,7543.4,11717038.612,1,1697349600000
2023-10-15 13:00:00,1554.64,1555.16,1553.13,1553.43,64543,6454.3,10029262.134,1,1697346000000
2023-10-15 12:00:00,1554.4,1554.92,1552.49,1554.65,129451,12945.1,20113937.607,1,1697342400000
2023-10-15 11:00:00,1555.5,1556.16,1554.18,1554.4,87807,8780.7,13656050.918,1,1697338800000
2023-10-15 10:00:00,1555.66,1557.46,1553.83,1555.5,151117,15111.7,23504979.008,1,1697335200000
2023-10-15 09:00:00,1552.49,1558.4,1551.32,1555.57,304883,30488.3,47417990.785,1,1697331600000
2023-10-15 08:00:00,1554.77,1556,1549.25,1552.5,290656,29065.6,45111794.512,1,1697328000000
2023-10-15 07:00:00,1556.53,1557.83,1554.77,1554.77,93557,9355.7,14561177.651,1,1697324400000
2023-10-15 06:00:00,1555.05,1556.8,1554.28,1556.53,93530,9353,14548059.237,1,1697320800000
2023-10-15 05:00:00,1555.7,1562.99,1553.39,1555.05,433920,43392,67625832.278,1,1697317200000
2023-10-15 04:00:00,1555.25,1555.71,1553.28,1555.71,91927,9192.7,14292459.397,1,1697313600000
2023-10-15 03:00:00,1554.5,1556.27,1553.58,1555.25,106202,10620.2,16514860.991,1,1697310000000
2023-10-15 02:00:00,1554.3,1555.24,1553.34,1554.5,112720,11272,17518177.336,1,1697306400000
2023-10-15 01:00:00,1555.85,1557.15,1553.64,1554.31,153663,15366.3,23899962.14,1,1697302800000
2023-10-15 00:00:00,1556.02,1558.64,1552.4,1555.84,587086,58708.6,91336265.898,1,1697299200000
2023-10-14 23:00:00,1549.29,1558.44,1549.28,1556.01,493350,49335,76668683.058,1,1697295600000
2023-10-14 22:00:00,1551.59,1552.8,1548.73,1549.29,179577,17957.7,27844178.624,1,1697292000000
2023-10-14 21:00:00,1550.59,1552.93,1549.55,1551.59,271099,27109.9,42050081.344,1,1697288400000
2023-10-14 20:00:00,1547.36,1550.86,1546.18,1550.6,257053,25705.3,39811138.6,1,1697284800000
2023-10-14 19:00:00,1548.48,1548.67,1543.72,1547.35,276876,27687.6,42806312.602,1,1697281200000
2023-10-14 18:00:00,1547.98,1549.36,1547.73,1548.48,106932,10693.2,16558774.272,1,1697277600000
2023-10-14 17:00:00,1547.99,1549.79,1547.32,1547.98,177367,17736.7,27464033.773,1,1697274000000
2023-10-14 16:00:00,1548.14,1548.81,1546,1548,185071,18507.1,28636413.423,1,1697270400000
2023-10-14 15:00:00,1546.53,1548.33,1545.37,1548.08,223014,22301.4,34502338.659,1,1697266800000
2023-10-14 14:00:00,1550.54,1551.07,1546.33,1546.53,360453,36045.3,55802014.804,1,1697263200000
2023-10-14 13:00:00,1552.7,1553.91,1549.37,1550.53,183182,18318.2,28419270.838,1,1697259600000
2023-10-14 12:00:00,1553.8,1555.15,1552.29,1552.7,132404,13240.4,20575785.067,1,1697256000000
2023-10-14 11:00:00,1554.33,1555.76,1552.59,1553.8,197629,19762.9,30715540.123,1,1697252400000
2023-10-14 10:00:00,1555.19,1556.74,1552.29,1554.33,362010,36201,56271628.794,1,1697248800000
2023-10-14 09:00:00,1552.99,1556.45,1549.28,1555.19,275564,27556.4,42790890.178,1,1697245200000
2023-10-14 08:00:00,1552.29,1554.59,1551.3,1552.99,212496,21249.6,33004417.853,1,1697241600000
2023-10-14 07:00:00,1549.4,1552.49,1546.74,1552.28,387284,38728.4,60013424.988,1,1697238000000
2023-10-14 06:00:00,1559.13,1563.09,1545.33,1549.4,690230,69023,107225341.329,1,1697234400000
2023-10-14 05:00:00,1559.57,1576.8,1554.59,1559.12,1973234,197323.4,309140404.702,1,1697230800000
2023-10-14 04:00:00,1545.87,1564.6,1543.6,1559.72,1200814,120081.4,186770024.652,1,1697227200000
2023-10-14 03:00:00,1543.56,1545.88,1541.35,1545.87,118173,11817.3,18247688.818,1,1697223600000
2023-10-14 02:00:00,1544.65,1545.79,1542.08,1543.55,152777,15277.7,23591272.502,1,1697220000000
2023-10-14 01:00:00,1548.45,1548.78,1541.01,1544.65,397767,39776.7,61440414.725,1,1697216400000
2023-10-14 00:00:00,1539.38,1549.36,1539.15,1548.44,669835,66983.5,103487815.413,1,1697212800000
2023-10-13 23:00:00,1541.56,1544.06,1537.38,1539.39,815832,81583.2,125654570.029,1,1697209200000
2023-10-13 22:00:00,1549.25,1549.38,1540.34,1541.56,696726,69672.6,107596674.81,1,1697205600000
2023-10-13 21:00:00,1553.26,1553.73,1547.41,1549.19,476911,47691.1,73931351.637,1,1697202000000
2023-10-13 20:00:00,1546.76,1553.64,1543.16,1553.32,712700,71270,110444523.8,1,1697198400000
2023-10-13 19:00:00,1545.22,1548.98,1544.88,1546.75,320937,32093.7,49646686.95,1,1697194800000
2023-10-13 18:00:00,1543.66,1546.1,1543.5,1545.22,239802,23980.2,37049991.288,1,1697191200000
2023-10-13 17:00:00,1547.91,1550.64,1542.67,1543.65,603459,60345.9,93329256.124,1,1697187600000
2023-10-13 16:00:00,1549.3,1552.52,1547.2,1547.92,503225,50322.5,78003228.662,1,1697184000000
2023-10-13 15:00:00,1540.11,1555.27,1540.11,1549.29,1553805,155380.5,240686700.394,1,1697180400000
2023-10-13 14:00:00,1541.3,1542.26,1539.43,1540.11,192070,19207,29587546.283,1,1697176800000
2023-10-13 13:00:00,1541.86,1544.45,1540,1541.29,224104,22410.4,34562668.558,1,1697173200000
2023-10-13 12:00:00,1538.8,1541.84,1538.43,1541.84,268047,26804.7,41282532.57,1,1697169600000
2023-10-13 11:00:00,1542.76,1543.4,1537.71,1538.8,366507,36650.7,56434986.462,1,1697166000000
2023-10-13 10:00:00,1543.17,1544.87,1540.55,1542.76,217453,21745.3,33540096.024,1,1697162400000
2023-10-13 09:00:00,1544.36,1547.97,1541.76,1543.17,395317,39531.7,61039209.871,1,1697158800000
2023-10-13 08:00:00,1539.61,1546.8,1538.2,1544.35,714890,71489,110306132.953,1,1697155200000
2023-10-13 07:00:00,1539.94,1540.34,1535.62,1539.6,239459,23945.9,36839808.584,1,1697151600000
2023-10-13 06:00:00,1537.73,1540.64,1536.58,1539.98,227157,22715.7,34948386.163,1,1697148000000
2023-10-13 05:00:00,1536.59,1538.76,1533.54,1537.73,197103,19710.3,30279606.598,1,1697144400000
2023-10-13 04:00:00,1531.35,1536.58,1530.43,1536.58,281513,28151.3,43180999.054,1,1697140800000
2023-10-13 03:00:00,1530.7,1534.8,1527.1,1531.35,361984,36198.4,55439625.178,1,1697137200000
2023-10-13 02:00:00,1530.07,1535.6,1526.59,1530.7,583030,58303,89290234.873,1,1697133600000
2023-10-13 01:00:00,1528.82,1531.53,1521.1,1530.3,1369513,136951.3,209061104.802,1,1697130000000
2023-10-13 00:00:00,1541.64,1545.2,1516.11,1528.82,3664326,366432.6,561150544.817,1,1697126400000
2023-10-12 23:00:00,1544.25,1546.98,1539.25,1541.63,604018,60401.8,93186188.69,1,1697122800000
2023-10-12 22:00:00,1547.01,1549.53,1538,1544.25,958674,95867.4,147990424.203,1,1697119200000
2023-10-12 21:00:00,1549.77,1553.33,1540.98,1547.16,966284,96628.4,149393907.288,1,1697115600000
2023-10-12 20:00:00,1552.07,1554.38,1545.13,1549.78,1199425,119942.5,185885796.85,1,1697112000000
2023-10-12 19:00:00,1546.55,1555.84,1545.48,1552.07,728078,72807.8,112882449.137,1,1697108400000
2023-10-12 18:00:00,1541.79,1549.81,1539.42,1546.55,1230177,123017.7,190028699.212,1,1697104800000
2023-10-12 17:00:00,1557.83,1559.1,1533.69,1541.8,2694344,269434.4,416637376.346,1,1697101200000
2023-10-12 16:00:00,1559.23,1561.2,1556.65,1557.83,379813,37981.3,59200745.949,1,1697097600000
2023-10-12 15:00:00,1562.61,1564.13,1558.55,1559.23,362547,36254.7,56597337.656,1,1697094000000
2023-10-12 14:00:00,1564.82,1566.98,1562.56,1562.61,313842,31384.2,49108678.052,1,1697090400000
2023-10-12 13:00:00,1561.07,1564.83,1557.49,1564.83,325794,32579.4,50852025.216,1,1697086800000
2023-10-12 12:00:00,1561.81,1563.55,1560.85,1561.07,192260,19226,30035304.052,1,1697083200000
2023-10-12 11:00:00,1565.49,1565.95,1560.15,1561.8,281060,28106,43913486.18,1,1697079600000
2023-10-12 10:00:00,1559.02,1568.99,1556,1565.5,519244,51924.4,81159254.229,1,1697076000000
2023-10-12 09:00:00,1561.39,1561.92,1557.33,1559.03,360666,36066.6,56237682.489,1,1697072400000
2023-10-12 08:00:00,1566.78,1566.89,1559.34,1561.38,384091,38409.1,60017164.139,1,1697068800000
2023-10-12 07:00:00,1565.7,1567.23,1564.1,1566.77,174871,17487.1,27375980.906,1,1697065200000
2023-10-12 06:00:00,1566,1569.68,1564.59,1565.69,263711,26371.1,41322030.462,1,1697061600000
2023-10-12 05:00:00,1564.06,1567.27,1562.22,1566,200697,20069.7,31401336.223,1,1697058000000
